Название продукта;Ккал;Белки;Жиры ;Углеводы;Витамин B1 ;Витамин B2;Витамин B3 ;Витамин B6;Витамин B7 ;Витамин B12 ;Витамин A;Витамин C;Витамин D;Витамин E;Витамин K;Кальций;Фосфор;Магний;Железо ;Йод;Калий;Натрий;Цинк;Селен;Медь;Марганец;Хром;Фтор;Омега-3;Омега-6;Пробиотики;Клетчатка;Цена;Содержание воды (мг/100г)
Абрикосы;48;1400;400;11000;0.03;0.04;0.60;0.05;0.0009;0;0.096;10;0;0.90;0.0033;13;23;10;0.4;0.001;259;1;0.2;0.0001;0.08;0.08;0.0005;0.004;3;80;0;2000;8;85.2
Авокадо;160;2000;15000;9000;0.07;0.13;   .70;0.26;0.010;0;0.007;10;0;02.   ;0.021;12;52;29;0.6;0.002;485;7;0.6;0.0004;0.19;0.14;0.0002;0.0006;110;1670;0;6700;25;67.3
Айва;57;400;100;15000;0.02;0.03;0.20;0.04;0;0;0.002;15;0;0.50;0;11;17;8;0.7;0;197;4;0.1;0.0001;0.04;0.03;0;0;20;40;0;1900;10;83.5
Ананас;50;500;100;13000;0.08;0.03;0.50;0.11;0;0;0.003;47;0;0.02;0.0007;13;8;12;0.3;0.0003;109;1;0.1;0.0001;0.11;0.93;0;0.002;10;20;0;1400;12;86
Апельсин;47;900;100;12000;0.09;0.04;0.40;0.06;0.001;0;0.011;53;0;0.20;0;40;14;10;0.1;0.002;181;0;0.1;0.0005;0.05;0.03;0.0001;0.002;10;30;0;2400;6;87
Арбуз;30;600;200;8000;0.03;0.02;0.20;0.05;0;0;0.028;8;0;0.05;0.0001;7;11;10;0.2;0.0003;112;1;0.1;0.0004;0.04;0.04;0;0.001;4;50;0;400;4;92
Бананы;89;1100;300;23000;0.03;0.07;0.70;0.37;0.003;0;0.003;8;0;0.10;0.0005;5;22;27;0.3;0.0003;358;1;0.2;0.0010;0.08;0.27;0.0001;0.002;30;50;0;2600;6;74
Брусника;46;700;500;8000;0.02;0.03;0.20;0.06;0;0;0.007;15;0;1.00;0.0051;14;11;6;0.4;0;77;2;0.2;0.0001;0.07;0.34;0;0;20;90;0;2500;18;86
Виноград;69;700;200;18000;0.07;0.07;0.30;0.09;0.0015;0;0.003;3;0;0.20;0.014;10;20;7;0.4;0.001;191;2;0.1;0.0001;0.13;0.07;0.0001;0.007;10;30;0;900;12;81
Вишня;63;1000;200;16000;0.03;0.04;0.40;0.05;0.0004;0;0.003;7;0;0.10;0.0021;13;21;9;0.4;0.002;173;0;0.1;0.0001;0.06;0.07;0;0.002;10;50;0;2100;18;82
Черника;57;700;300;14000;0.04;0.04;0.42;0.05;0.0005;0;0.003;09.   ;0;0.57;0.019;6;12;6;0.3;0.0001;77;1;0.16;0.0002;0.06;0.34;0.0001;0.001;58;88;0;2400;18;84
Гранат;83;1700;1200;19000;0.07;0.05;0.29;0.08;0.0006;0;0.003;10.   ;0;0.60;0.016;10;36;12;0.3;0.0003;236;3;0.35;0.0005;0.16;0.12;0.0001;0.001;45;120;0;4000;12;77
Грейпфрут;42;800;100;11000;0.04;0.02;0.28;0.04;0.0003;0;0.058;31.2;0;0.13;0;22;18;9;0.1;0.0002;135;0;0.08;0.0003;0.05;0.02;0;0.002;8;15;0;1600;6;88
Груша;57;400;100;15000;0.01;0.03;0.16;0.03;0;0;0.001;04.   ;0;0.12;0.004;9;12;7;0.2;0;116;1;0.10;0.0001;0.08;0.05;0;0.001;10;25;0;3200;8;84
Ежевика;43;1400;500;9800;0.02;0.05;0.65;0.03;0.0004;0;0.011;21;0;   .17;0.019;29;22;20;0.6;0.0001;162;1;0.53;0.0002;0.17;0.65;0.0001;0.001;90;180;0;5300;25;85
Инжир;74;800;300;19000;0.06;0.05;0.40;0.11;0.0007;0;0.007;2;0;0.11;0.004;35;14;17;0.4;0.0004;232;1;0.15;0.0002;0.07;0.13;0;0.002;30;110;0;2800;18;78
Киви;61;1100;400;15000;0.03;0.05;0.34;0.06;0.001;0;0.004;92.7;0;01.   ;0.04;34;34;17;0.3;0.0003;312;3;0.14;0.0002;0.13;0.10;0.0001;0.001;42;240;0;3000;10;83
Клубника;32;700;300;7700;0.02;0.02;0.39;0.05;0.0004;0;0.001;58.8;0;0.29;0.002;16;24;13;0.4;0.0001;153;1;0.14;0.0004;0.05;0.39;0.0001;0.001;65;90;0;2000;18;90
Клюква;46;400;100;12000;0.01;0.02;0.10;0.06;0.0001;0;0.001;13.   ;0;01.   ;0.005;8;11;6;0.2;0;85;2;0.10;0.0001;0.06;0.36;0;0.001;22;33;0;4600;18;87
Крыжовник;44;800;200;10000;0.02;0.03;0.30;0.08;0.0005;0;0.015;27.   ;0;0.37;0.007;25;27;10;0.3;0.0001;198;1;0.12;0.0001;0.07;0.14;0.0001;0.001;18;54;0;4400;12;86
Курага;241;3400;500;63000;0.10;0.20;   .60;0.14;0.001;0;0.360;1.0;0;   .33;0.031;55;71;32;02.   ;0.0002;1162;10;0.39;0.0003;0.34;0.24;0.0003;0.004;5;120;0;7300;20;23
Лимон;29;1000;200;9000;0.04;0.02;0.10;0.08;0.0005;0;0.001;53.0;0;0.15;0;26;16;8;0.6;0.0001;138;2;0.06;0.0001;0.04;0.03;0;0.001;2;6;0;2800;7;89
Мандарин;53;800;300;13000;0.06;0.04;0.38;0.08;0.0003;0;0.034;26.   ;0;0.20;0;37;20;12;0.2;0.0002;166;2;0.07;0.0001;0.04;0.04;0;0.001;5;15;0;1800;9;87
Малина;52;1200;700;12000;0.03;0.04;0.60;0.06;0.0004;0;0.002;26.   ;0;0.87;0.008;25;29;22;0.7;0.0001;151;1;0.42;0.0002;0.09;0.67;0.0001;0.001;30;90;0;6500;50;85
Морошка;51;900;800;8000;0.05;0.07;0.50;0.07;0;0;0.015;158.0;0;   .50;0.007;18;35;15;0.9;0;170;1;0.30;0.0002;0.12;0.60;0;0.002;25;80;0;3800;150;83
Облепиха;82;1200;500;10000;0.03;0.05;0.45;0.11;0.001;0;0.250;695.0;0;5.00;0.020;42;28;30;01.   ;0.0003;193;4;0.10;0.0001;0.08;0.10;0.0001;0.002;35;110;0;2300;30;72
Персики;39;900;250;10000;0.02;0.03;0.80;0.03;0.0002;0;0.016;06.   ;0;0.73;0.002;6;20;9;0.3;0.0001;190;0;0.17;0.0001;0.07;0.06;0;0.001;4;12;0;1500;15;88
Слива;46;700;280;11000;0.03;0.03;0.42;0.03;0.0004;0;0.017;09.   ;0;0.26;0.006;6;16;7;0.2;0.0002;157;0;0.10;0.0001;0.06;0.05;0;0.001;5;8;0;1400;10;85
